#MJD,Frequency,Value,Error
53554.0,1.7GHz,0.0022,0.0002
53555.0,1.7GHz,0.0011,0.0002
53557.0,1.7GHz,0.0012,0.0002
53558.0,1.7GHz,0.001,0.001
53559.0,1.7GHz,0.0008,0.0003
53559.0,1.4GHz,0.00302,0.00033
53559.0,4.8Ghz,0.00279,5e-05
53559.0,8.4GHz,0.00196,4e-05
53561.0,1.4GHz,0.00321,0.00052
53561.0,4.8Ghz,0.00224,0.00014
53561.0,8.4GHz,0.00114,0.00012
53566.0,1.4GHz,0.00308,0.00046
53566.0,4.8Ghz,0.00276,0.00014
53566.0,8.4GHz,0.00265,0.00026
53570.0,1.4GHz,0.00312,0.00045
53570.0,4.8Ghz,0.00238,0.00013
53570.0,8.4GHz,0.00242,5e-05
53577.0,1.4GHz,0.00131,0.00039
53577.0,4.8Ghz,0.0015,0.00013
53577.0,8.4GHz,0.00181,9e-05
53585.0,1.4GHz,0.00118,0.00043
53585.0,4.8Ghz,0.00084,0.00012
53585.0,8.4GHz,0.00047,0.0001
53589.0,8.4GHz,0.00057,7e-05
53593.0,1.4GHz,0.00086,0.00021
53593.0,4.8Ghz,0.00074,5e-05
53593.0,8.4GHz,0.00068,0.0001
53594.0,8.4GHz,0.00097,0.00021
53598.0,8.4GHz,0.00056,8e-05
53600.0,8.4GHz,0.00065,5e-05
53602.0,8.4GHz,0.00055,7e-05
53606.0,1.4GHz,0.00066,0.00045
53606.0,4.8Ghz,0.00057,9e-05
53606.0,8.4GHz,0.00062,7e-05
53611.0,1.4GHz,0.00105,0.00032
53611.0,4.8Ghz,0.00052,7e-05
53611.0,8.4GHz,0.00064,7e-05
53617.0,8.4GHz,0.00039,0.0001
53624.0,4.8Ghz,0.00073,0.00012
53624.0,8.4GHz,0.00037,7e-05
53631.0,4.8Ghz,0.00041,7e-05
53631.0,8.4GHz,0.00045,9e-05
53636.0,4.8Ghz,0.00045,6e-05
53650.0,4.8Ghz,0.00045,6e-05
53660.0,4.8Ghz,0.00024,0.00024
53665.0,4.8Ghz,0.00033,6e-05
53667.0,4.8Ghz,0.00036,6e-05
53693.0,4.8Ghz,0.00048,9e-05
53727.0,4.8Ghz,0.00021,5e-05
53735.0,4.8Ghz,0.00027,5e-05
53743.0,4.8Ghz,0.00031,6e-05
53749.0,4.8Ghz,0.00035,6e-05
53749.0,8.4GHz,0.00023,6e-05
53769.0,4.8Ghz,0.00016,0.00016
53772.0,4.8Ghz,0.00017,0.00017
53785.0,4.8Ghz,7e-05,5e-05
53805.0,4.8Ghz,8e-05,8e-05
53813.0,1.4GHz,0.00049,0.00014
53813.0,4.8Ghz,4e-05,3e-05
53837.0,4.8Ghz,0.00018,6e-05
53854.0,4.8Ghz,0.00023,0.00023
53858.0,4.8Ghz,0.00011,3e-05
53894.0,4.8Ghz,0.00026,7e-05
53912.0,4.8Ghz,0.00029,5e-05
53929.0,4.8Ghz,0.00031,6e-05
53950.0,4.8Ghz,0.00019,0.00019
53951.0,4.8Ghz,0.00013,0.00013
53952.0,4.8Ghz,0.00022,4e-05
53956.0,4.8Ghz,0.00019,0.00019
53965.0,4.8Ghz,0.00019,5e-05
53975.0,4.8Ghz,0.0001,5e-05
53987.0,4.8Ghz,0.00017,6e-05
54007.0,4.8Ghz,0.00032,5e-05
54128.0,4.8Ghz,0.00024,5e-05
54139.0,4.8Ghz,0.00019,4e-05
54141.0,4.8Ghz,0.00035,4e-05
54282.0,4.9GHz,0.00028,5e-05
54282.0,8.5GHz,0.0003,0.0003
54289.0,4.9GHz,0.00039,5e-05
54289.0,8.5GHz,0.0003,0.0003
54296.0,4.9GHz,0.00042,5e-05
54296.0,8.5GHz,0.0003,0.0003
54303.0,4.9GHz,9e-05,9e-05
54303.0,8.5GHz,0.0003,0.0003
54991.0,8.4GHz,0.0005,2e-05
54992.0,8.4GHz,0.00042,5e-05
54997.0,8.4GHz,0.0004,2e-05
56209.6012673,15GHz,0.000254165967105,2.22716641216e-05
56209.6012673,15GHz,0.000337612029962,0.00015128326861
56218.59886,15GHz,0.000323348896302,0.000217276182657
56223.6364525,15GHz,0.000207798589269,0.000254594454946
56238.5033855,15GHz,0.000752244471744,0.0002206973185
56245.639404,15GHz,0.000286923888488,0.000212444121423
56251.6195543,15GHz,0.000347611917096,0.000222688666359
56259.518073,15GHz,0.000237298489112,0.00019481786709
56282.5563832,15GHz,0.000124228635623,0.000139489834901
56293.5678993,15GHz,0.000434428735828,0.000178489121757
56296.4904572,15GHz,0.000405078035538,0.000125310154711
56303.3598438,15GHz,0.000198575935358,0.000201788835082
56308.410596,15GHz,0.000304028174095,0.000120938446632
56329.374728,15GHz,0.000160676015932,0.000183163222442
56335.385353,15GHz,0.000297808116702,0.000117648145424
56343.3108738,15GHz,0.000353575640972,0.000114699625553
56349.3499017,15GHz,0.000395416278189,0.000243800388329
56351.2204687,15GHz,0.000232988787669,0.000119260365613
56356.256684,15GHz,0.000193187050148,0.000110918488198
56363.3372975,15GHz,6.84545721106e-05,0.000118346466443
56365.1358507,15GHz,0.000321951535095,8.65230811101e-05
56371.1776332,15GHz,0.000121917067297,0.00018906995238
56378.1654457,15GHz,0.00015065445848,8.68734961831e-05
56384.1352142,15GHz,0.000297945303183,0.000114164989276
56389.1014873,15GHz,0.00016056599727,9.48763622386e-05
56399.01739,15GHz,0.000264161578585,0.000115906453054
56404.045978,15GHz,0.00032941056491,9.1851551091e-05
56420.0348437,15GHz,0.000137518419505,0.000100254845242
56434.008397,15GHz,0.000264191288263,0.000138803160559
56440.9996702,15GHz,0.000172441210221,0.000168704681558
56445.0199132,15GHz,0.000148365229832,0.000103943575073
56447.9376215,15GHz,0.000154676588941,9.78646283157e-05
56450.9716725,15GHz,0.000261705465261,8.20607311787e-05
56453.9219272,15GHz,0.000257290542776,9.93743327866e-05
56460.0205035,15GHz,0.000247920501933,0.000125513824929
56461.9381772,15GHz,-2.34502345178e-05,0.000123332882637
56464.9549132,15GHz,0.000161044815679,0.00011615821458
56467.9086285,15GHz,0.000375607998129,0.000118853655979
56473.8922512,15GHz,0.000331008358801,0.000166213245635
56488.8443692,15GHz,0.00033579151391,0.000126000076902
56495.8481077,15GHz,6.43160915657e-06,0.000297655905628
56503.8331887,15GHz,8.34639760595e-05,0.000212931449323
56516.761684,15GHz,0.000221189266751,0.000122321772125
