#columns (so you dont have to count them when you plot!
#1=MJD
#2-4=nH, upper limit, lower limit
#5-7=Inner disk temperature, upper limit, lower limit
#8-10=Disk Normalisation, upper limit, lower limit
#11-13=PL index, upper limit, lower limit
#14-16=PL Normalisation, upper limit, lower limit
#17-19=Absorbed 0.6-10 keV flux, upper limit, lower limit
#20-22=Unabsorbed 0.6-10 keV flux, upper limit, lower limit (log10)
#23-25=0.6-10 keV flux of the PL component , upper limit, lower limit (log10)
#26=chi2
#27=degrees of freedom
#MJD	nH	nH_UL	nH_LL	kT	kT_UL	kT_LL	N_d	N_dUL	N_dLL	Gamma	Gamma_ULL	Gamma_LL	N_Gamma	N_GUL	N_GLL	absflux(0.6-10keV)	absflux_UL	absflux_LL	unabsflux(0.6-10keV_log10)	unabsflux_UL	unabsflux_LL	PLflux(0.6-10keV_log10)	PLfl_UL	PLfl_LL	chi2	dof
53552.8954582	0.396563	0.505082	0.287939	0.162802	0.1973	0.142934	341823	1.27376e+06	61071	1.97827	2.04684	1.90784	0.877035	0.962245	0.795425	3.50374e-09	3.49742e-09	3.31816e-09	-8.31106	-8.25175	-8.36023	-8.39451	-8.3791	-8.41103	304.221	350
53557.7190893	0.331125	0.383803	0.279493	0.179708	0.199209	0.165418	290863	616665	122764	1.93718	1.9708	1.91935	1.57229	1.64727	1.49754	6.77176e-09	6.79078e-09	6.65644e-09	-8.05268	-8.02755	-8.0751	-8.12451	-8.11669	-8.13248	617.315	631
53557.7908583	0.378296	0.416784	0.33952	0.167109	0.176976	0.158922	545913	892065	318279	1.94422	1.96559	1.92268	1.60295	1.65226	1.55449	6.73366e-09	6.74027e-09	6.68288e-09	-8.03551	-8.01614	-8.0537	-8.11898	-8.11373	-8.12423	699.434	745
53559.724131	0.184859	0.250337	0.122875	NaN	NaN	NaN	NaN	NaN	NaN	1.99288	2.11304	1.87781	1.68493	1.90452	1.49238	6.73603e-09	6.951e-09	6.49172e-09	-8.11669	-8.09498	-8.13896	-8.11669	-8.09498	-8.13896	80.0146	91
53559.7246558	0.323956	0.36378	0.284392	0.176124	0.189677	0.165487	326037	582342	169402	1.95206	1.97473	1.92903	1.70377	1.75927	1.6488	7.19754e-09	7.19957e-09	7.10975e-09	-8.02871	-8.00996	-8.04604	-8.09566	-8.09008	-8.10127	759.574	741
53559.6742637	0.360244	0.406933	0.313379	0.167098	0.180064	0.156946	485265	896939	241731	1.95412	1.98097	1.94044	1.59211	1.65297	1.53252	6.62647e-09	6.63503e-09	6.52225e-09	-8.04989	-8.02676	-8.07124	-8.12592	-8.11942	-8.13243	668.942	685
53560.395242	0.493577	0.607038	0.379052	0.153043	0.178303	0.136425	1.5432e+06	5.22165e+06	358983	2.038	2.11377	1.96094	1.73513	1.91938	1.56235	6.37847e-09	6.39462e-09	6.02939e-09	-7.99393	-7.92023	-8.05578	-8.12129	-8.10277	-8.13062	353.593	327
53560.3968092	0.325266	0.366333	0.284883	0.178948	0.193419	0.167539	318221	580409	162555	1.96528	1.98976	1.94044	1.7817	1.844	1.72016	7.44096e-09	7.45611e-09	7.32812e-09	-8.01199	-7.99232	-8.02998	-8.08153	-8.0755	-8.0876	610.304	706
53560.3382962	0.370681	0.415025	0.325676	0.160426	0.171132	0.15185	638656	1.12078e+06	338124	1.96493	1.98929	1.94044	1.6107	1.66673	1.55597	6.57714e-09	6.57648e-09	6.4826e-09	-8.04833	-8.02598	-8.06926	-8.12521	-8.11918	-8.13122	704.607	706
53561.4674712	0.156559	0.178083	0.135428	NaN	NaN	NaN	NaN	NaN	NaN	1.96357	2.00436	1.92347	1.50175	1.56668	1.4397	6.29023e-09	6.36021e-09	6.21113e-09	-8.15509	-8.14717	-8.16309	-8.15509	-8.14717	-8.16309	355.132	333
