#MJD	nH	nH_UL	nH_LL	kT	kT_UL	kT_LL	N_d	N_dUL	N_dLL	Gamma	Gamma_ULL	Gamma_LL	N_Gamma	N_GUL	N_GLL	flux	flux_UL	flux_LL	chi2	dof
53552.8954582	0.396563	0.505082	0.287939	0.162802	0.1973	0.142934	341823	1.27376e+06	61071	1.97827	2.04684	1.90784	0.877035	0.962245	0.795425	3.50374e-09	3.5118e-09	3.27867e-09	304.221	350
53557.7190893	0.331125	0.383803	0.279493	0.179708	0.199209	0.165418	290863	616665	122764	1.93718	1.9708	1.91935	1.57229	1.64727	1.49754	6.77176e-09	6.78885e-09	6.63768e-09	617.315	631
53557.7908583	0.378296	0.416784	0.33952	0.167109	0.176976	0.158922	545913	892065	318279	1.94422	1.96559	1.92268	1.60295	1.65226	1.55449	6.73366e-09	6.74468e-09	6.67116e-09	699.434	745
53559.724131	0.184859	0.250337	0.122875	NaN	NaN	NaN	NaN	NaN	NaN	1.99288	2.11304	1.87781	1.68493	1.90452	1.49238	6.73603e-09	6.98023e-09	6.54317e-09	80.0146	91
53559.7246558	0.323956	0.36378	0.284392	0.176124	0.189677	0.165487	326037	582342	169402	1.95206	1.97473	1.92903	1.70377	1.75927	1.6488	7.19754e-09	7.21363e-09	7.13023e-09	759.574	741
53559.6742637	0.360244	0.406933	0.313379	0.167098	0.180064	0.156946	485265	896939	241731	1.95412	1.98097	1.94044	1.59211	1.65297	1.53252	6.62647e-09	6.63155e-09	6.54314e-09	668.942	685
53560.395242	0.493577	0.607038	0.379052	0.153043	0.178303	0.136425	1.5432e+06	5.22165e+06	358983	2.038	2.11377	1.96094	1.73513	1.91938	1.56235	6.37847e-09	6.39825e-09	6.00784e-09	353.593	327
53560.3968092	0.325266	0.366333	0.284883	0.178948	0.193419	0.167539	318221	580409	162555	1.96528	1.98976	1.94044	1.7817	1.844	1.72016	7.44096e-09	7.45609e-09	7.28947e-09	610.304	706
53560.3382962	0.370681	0.415025	0.325676	0.160426	0.171132	0.15185	638656	1.12078e+06	338124	1.96493	1.98929	1.94044	1.6107	1.66673	1.55597	6.57714e-09	6.58622e-09	6.50218e-09	704.607	706
53561.4674712	0.156559	0.178083	0.135428	NaN	NaN	NaN	NaN	NaN	NaN	1.96357	2.00436	1.92347	1.50175	1.56668	1.4397	6.29023e-09	6.3666e-09	6.23268e-09	355.132	333
