#MJD 15GHz 15GHz_err 1.7GHz 1.7GHz_err 1.4GHz 1.4GHz_err 4.8Ghz 4.8GHz_err 8.4GHz 8.4GHz_err 4.9GHz 4.9GHz_err 8.5GHz 8.5GHz_err
53554.0 nan nan 0.0022 0.0002 nan nan nan nan nan nan nan nan nan nan
53555.0 nan nan 0.0011 0.0002 nan nan nan nan nan nan nan nan nan nan
53557.0 nan nan 0.0012 0.0002 nan nan nan nan nan nan nan nan nan nan
53558.0 nan nan 0.001 0.001 nan nan nan nan nan nan nan nan nan nan
53559.0 nan nan 0.0008 0.0003 0.00302 0.00033 0.00279 5e-05 0.00196 4e-05 nan nan nan nan
53561.0 nan nan nan nan 0.00321 0.00052 0.00224 0.00014 0.00114 0.00012 nan nan nan nan
53566.0 nan nan nan nan 0.00308 0.00046 0.00276 0.00014 0.00265 0.00026 nan nan nan nan
53570.0 nan nan nan nan 0.00312 0.00045 0.00238 0.00013 0.00242 5e-05 nan nan nan nan
53577.0 nan nan nan nan 0.00131 0.00039 0.0015 0.00013 0.00181 9e-05 nan nan nan nan
53585.0 nan nan nan nan 0.00118 0.00043 0.00084 0.00012 0.00047 0.0001 nan nan nan nan
53589.0 nan nan nan nan nan nan nan nan 0.00057 7e-05 nan nan nan nan
53593.0 nan nan nan nan 0.00086 0.00021 0.00074 5e-05 0.00068 0.0001 nan nan nan nan
53594.0 nan nan nan nan nan nan nan nan 0.00097 0.00021 nan nan nan nan
53598.0 nan nan nan nan nan nan nan nan 0.00056 8e-05 nan nan nan nan
53600.0 nan nan nan nan nan nan nan nan 0.00065 5e-05 nan nan nan nan
53602.0 nan nan nan nan nan nan nan nan 0.00055 7e-05 nan nan nan nan
53606.0 nan nan nan nan 0.00066 0.00045 0.00057 9e-05 0.00062 7e-05 nan nan nan nan
53611.0 nan nan nan nan 0.00105 0.00032 0.00052 7e-05 0.00064 7e-05 nan nan nan nan
53617.0 nan nan nan nan nan nan nan nan 0.00039 0.0001 nan nan nan nan
53624.0 nan nan nan nan nan nan 0.00073 0.00012 0.00037 7e-05 nan nan nan nan
53631.0 nan nan nan nan nan nan 0.00041 7e-05 0.00045 9e-05 nan nan nan nan
53636.0 nan nan nan nan nan nan 0.00045 6e-05 nan nan nan nan nan nan
53650.0 nan nan nan nan nan nan 0.00045 6e-05 nan nan nan nan nan nan
53660.0 nan nan nan nan nan nan 0.00024 0.00024 nan nan nan nan nan nan
53665.0 nan nan nan nan nan nan 0.00033 6e-05 nan nan nan nan nan nan
53667.0 nan nan nan nan nan nan 0.00036 6e-05 nan nan nan nan nan nan
53693.0 nan nan nan nan nan nan 0.00048 9e-05 nan nan nan nan nan nan
53727.0 nan nan nan nan nan nan 0.00021 5e-05 nan nan nan nan nan nan
53735.0 nan nan nan nan nan nan 0.00027 5e-05 nan nan nan nan nan nan
53743.0 nan nan nan nan nan nan 0.00031 6e-05 nan nan nan nan nan nan
53749.0 nan nan nan nan nan nan 0.00035 6e-05 0.00023 6e-05 nan nan nan nan
53769.0 nan nan nan nan nan nan 0.00016 0.00016 nan nan nan nan nan nan
53772.0 nan nan nan nan nan nan 0.00017 0.00017 nan nan nan nan nan nan
53785.0 nan nan nan nan nan nan 7e-05 5e-05 nan nan nan nan nan nan
53805.0 nan nan nan nan nan nan 8e-05 8e-05 nan nan nan nan nan nan
53813.0 nan nan nan nan 0.00049 0.00014 4e-05 3e-05 nan nan nan nan nan nan
53837.0 nan nan nan nan nan nan 0.00018 6e-05 nan nan nan nan nan nan
53854.0 nan nan nan nan nan nan 0.00023 0.00023 nan nan nan nan nan nan
53858.0 nan nan nan nan nan nan 0.00011 3e-05 nan nan nan nan nan nan
53894.0 nan nan nan nan nan nan 0.00026 7e-05 nan nan nan nan nan nan
53912.0 nan nan nan nan nan nan 0.00029 5e-05 nan nan nan nan nan nan
53929.0 nan nan nan nan nan nan 0.00031 6e-05 nan nan nan nan nan nan
53950.0 nan nan nan nan nan nan 0.00019 0.00019 nan nan nan nan nan nan
53951.0 nan nan nan nan nan nan 0.00013 0.00013 nan nan nan nan nan nan
53952.0 nan nan nan nan nan nan 0.00022 4e-05 nan nan nan nan nan nan
53956.0 nan nan nan nan nan nan 0.00019 0.00019 nan nan nan nan nan nan
53965.0 nan nan nan nan nan nan 0.00019 5e-05 nan nan nan nan nan nan
53975.0 nan nan nan nan nan nan 0.0001 5e-05 nan nan nan nan nan nan
53987.0 nan nan nan nan nan nan 0.00017 6e-05 nan nan nan nan nan nan
54007.0 nan nan nan nan nan nan 0.00032 5e-05 nan nan nan nan nan nan
54128.0 nan nan nan nan nan nan 0.00024 5e-05 nan nan nan nan nan nan
54139.0 nan nan nan nan nan nan 0.00019 4e-05 nan nan nan nan nan nan
54141.0 nan nan nan nan nan nan 0.00035 4e-05 nan nan nan nan nan nan
54282.0 nan nan nan nan nan nan nan nan nan nan 0.00028 5e-05 0.0003 0.0003
54289.0 nan nan nan nan nan nan nan nan nan nan 0.00039 5e-05 0.0003 0.0003
54296.0 nan nan nan nan nan nan nan nan nan nan 0.00042 5e-05 0.0003 0.0003
54303.0 nan nan nan nan nan nan nan nan nan nan 9e-05 9e-05 0.0003 0.0003
54991.0 nan nan nan nan nan nan nan nan 0.0005 2e-05 nan nan nan nan
54992.0 nan nan nan nan nan nan nan nan 0.00042 5e-05 nan nan nan nan
54997.0 nan nan nan nan nan nan nan nan 0.0004 2e-05 nan nan nan nan
56209.6012673 0.000254165967105 2.22716641216e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56209.6012673 0.000337612029962 0.00015128326861 nan nan nan nan nan nan nan nan nan nan nan nan
56218.59886 0.000323348896302 0.000217276182657 nan nan nan nan nan nan nan nan nan nan nan nan
56223.6364525 0.000207798589269 0.000254594454946 nan nan nan nan nan nan nan nan nan nan nan nan
56238.5033855 0.000752244471744 0.0002206973185 nan nan nan nan nan nan nan nan nan nan nan nan
56245.639404 0.000286923888488 0.000212444121423 nan nan nan nan nan nan nan nan nan nan nan nan
56251.6195543 0.000347611917096 0.000222688666359 nan nan nan nan nan nan nan nan nan nan nan nan
56259.518073 0.000237298489112 0.00019481786709 nan nan nan nan nan nan nan nan nan nan nan nan
56282.5563832 0.000124228635623 0.000139489834901 nan nan nan nan nan nan nan nan nan nan nan nan
56293.5678993 0.000434428735828 0.000178489121757 nan nan nan nan nan nan nan nan nan nan nan nan
56296.4904572 0.000405078035538 0.000125310154711 nan nan nan nan nan nan nan nan nan nan nan nan
56303.3598438 0.000198575935358 0.000201788835082 nan nan nan nan nan nan nan nan nan nan nan nan
56308.410596 0.000304028174095 0.000120938446632 nan nan nan nan nan nan nan nan nan nan nan nan
56329.374728 0.000160676015932 0.000183163222442 nan nan nan nan nan nan nan nan nan nan nan nan
56335.385353 0.000297808116702 0.000117648145424 nan nan nan nan nan nan nan nan nan nan nan nan
56343.3108738 0.000353575640972 0.000114699625553 nan nan nan nan nan nan nan nan nan nan nan nan
56349.3499017 0.000395416278189 0.000243800388329 nan nan nan nan nan nan nan nan nan nan nan nan
